LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:15:55 0                 
Time Ampl
9.98716797e-007 4.55078e-016
9.98720703e-007 -3.32031e-017
9.98724609e-007 -3.32031e-017
9.98728516e-007 -7.65625e-016
9.98732422e-007 -5.21484e-016
9.98736328e-007 -5.21484e-016
9.98740234e-007 -3.32031e-017
9.98744141e-007 4.55078e-016
9.98748047e-007 1.1875e-015
9.98751953e-007 1.1875e-015
9.98755859e-007 4.55078e-016
9.98759766e-007 1.67578e-015
9.98763672e-007 6.99219e-016
9.98767578e-007 2.16406e-015
9.98771484e-007 3.62891e-015
9.98775391e-007 2.16406e-015
9.98779297e-007 9.43359e-016
9.98783203e-007 9.43359e-016
9.98787109e-007 6.99219e-016
9.98791016e-007 4.55078e-016
9.98794922e-007 -5.21484e-016
9.98798828e-007 2.10937e-016
9.98802734e-007 1.91992e-015
9.98806641e-007 2.4082e-015
9.98810547e-007 2.16406e-015
9.98814453e-007 2.16406e-015
9.98818359e-007 9.43359e-016
9.98822266e-007 6.99219e-016
9.98826172e-007 1.43164e-015
9.98830078e-007 2.89648e-015
9.98833984e-007 2.4082e-015
9.98837891e-007 2.16406e-015
9.98841797e-007 1.91992e-015
9.98845703e-007 2.65234e-015
9.98849609e-007 2.4082e-015
9.98853516e-007 3.14062e-015
9.98857422e-007 3.38477e-015
9.98861328e-007 3.62891e-015
9.98865234e-007 3.38477e-015
9.98869141e-007 4.36133e-015
9.98873047e-007 5.82617e-015
9.98876953e-007 5.33789e-015
9.98880859e-007 5.58203e-015
9.98884766e-007 5.09375e-015
9.98888672e-007 4.11719e-015
9.98892578e-007 3.14062e-015
9.98896484e-007 3.14062e-015
9.98900391e-007 4.11719e-015
9.98904297e-007 4.36133e-015
9.98908203e-007 4.36133e-015
9.98912109e-007 5.58203e-015
9.98916016e-007 4.60547e-015
9.98919922e-007 4.60547e-015
9.98923828e-007 6.31445e-015
9.98927734e-007 5.82617e-015
9.98931641e-007 5.58203e-015
9.98935547e-007 5.09375e-015
9.98939453e-007 4.84961e-015
9.98943359e-007 3.87305e-015
9.98947266e-007 4.36133e-015
9.98951172e-007 4.60547e-015
9.98955078e-007 4.84961e-015
9.98958984e-007 3.14062e-015
9.98962891e-007 3.62891e-015
9.98966797e-007 3.62891e-015
9.98970703e-007 3.62891e-015
9.98974609e-007 3.14062e-015
9.98978516e-007 3.87305e-015
9.98982422e-007 4.36133e-015
9.98986328e-007 6.31445e-015
9.98990234e-007 6.80273e-015
9.98994141e-007 7.04687e-015
9.98998047e-007 6.80273e-015
9.99001953e-007 6.55859e-015
9.99005859e-007 7.7793e-015
9.99009766e-007 6.80273e-015
9.99013672e-007 6.31445e-015
9.99017578e-007 7.29102e-015
9.99021484e-007 8.51172e-015
9.99025391e-007 7.7793e-015
9.99029297e-007 7.04687e-015
9.99033203e-007 6.55859e-015
9.99037109e-007 6.55859e-015
9.99041016e-007 7.29102e-015
9.99044922e-007 6.31445e-015
9.99048828e-007 7.04687e-015
9.99052734e-007 7.29102e-015
9.99056641e-007 7.53516e-015
9.99060547e-007 8.02344e-015
9.99064453e-007 7.29102e-015
9.99068359e-007 7.53516e-015
9.99072266e-007 8.02344e-015
9.99076172e-007 8.02344e-015
9.99080078e-007 9.48828e-015
9.99083984e-007 9e-015
9.99087891e-007 1.02207e-014
9.99091797e-007 9.97656e-015
9.99095703e-007 1.0709e-014
9.99099609e-007 1.04648e-014
9.99103516e-007 1.19297e-014
9.99107422e-007 1.19297e-014
9.99111328e-007 1.33945e-014
9.99115234e-007 1.38828e-014
9.99119141e-007 1.4127e-014
9.99123047e-007 1.51035e-014
9.99126953e-007 1.48594e-014
9.99130859e-007 1.48594e-014
9.99134766e-007 1.36387e-014
9.99138672e-007 1.33945e-014
9.99142578e-007 1.36387e-014
9.99146484e-007 1.31504e-014
9.99150391e-007 1.14414e-014
9.99154297e-007 1.2418e-014
9.99158203e-007 1.16855e-014
9.99162109e-007 1.19297e-014
9.99166016e-007 1.19297e-014
9.99169922e-007 1.2418e-014
9.99173828e-007 1.16855e-014
9.99177734e-007 1.2418e-014
9.99181641e-007 1.16855e-014
9.99185547e-007 1.2418e-014
9.99189453e-007 1.26621e-014
9.99193359e-007 1.31504e-014
9.99197266e-007 1.16855e-014
9.99201172e-007 1.38828e-014
9.99205078e-007 1.31504e-014
9.99208984e-007 1.26621e-014
9.99212891e-007 1.26621e-014
9.99216797e-007 1.26621e-014
9.99220703e-007 1.26621e-014
9.99224609e-007 1.21738e-014
9.99228516e-007 1.21738e-014
9.99232422e-007 1.0709e-014
9.99236328e-007 1.16855e-014
9.99240234e-007 1.33945e-014
9.99244141e-007 1.38828e-014
9.99248047e-007 1.31504e-014
9.99251953e-007 1.26621e-014
9.99255859e-007 1.16855e-014
9.99259766e-007 1.09531e-014
9.99263672e-007 9.97656e-015
9.99267578e-007 1.09531e-014
9.99271484e-007 1.14414e-014
9.99275391e-007 1.02207e-014
9.99279297e-007 1.09531e-014
9.99283203e-007 1.0709e-014
9.99287109e-007 9.73242e-015
9.99291016e-007 9.24414e-015
9.99294922e-007 8.51172e-015
9.99298828e-007 8.51172e-015
9.99302734e-007 9.48828e-015
9.99306641e-007 1.04648e-014
9.99310547e-007 1.09531e-014
9.99314453e-007 1.02207e-014
9.99318359e-007 1.02207e-014
9.99322266e-007 9.48828e-015
9.99326172e-007 8.75586e-015
9.99330078e-007 8.75586e-015
9.99333984e-007 8.51172e-015
9.99337891e-007 7.53516e-015
9.99341797e-007 6.80273e-015
9.99345703e-007 6.07031e-015
9.99349609e-007 5.82617e-015
9.99353516e-007 5.09375e-015
9.99357422e-007 4.84961e-015
9.99361328e-007 5.09375e-015
9.99365234e-007 3.62891e-015
9.99369141e-007 1.67578e-015
9.99373047e-007 1.1875e-015
9.99376953e-007 -5.21484e-016
9.99380859e-007 -2.47461e-015
9.99384766e-007 -4.67188e-015
9.99388672e-007 -7.60156e-015
9.99392578e-007 -1.22402e-014
9.99396484e-007 -1.68789e-014
9.99400391e-007 -1.98086e-014
9.99404297e-007 -2.44473e-014
9.99408203e-007 -2.71328e-014
9.99412109e-007 -3.03066e-014
9.99416016e-007 -3.39688e-014
9.99419922e-007 -3.83633e-014
9.99423828e-007 -4.22695e-014
9.99427734e-007 -4.66641e-014
9.99431641e-007 -4.88613e-014
9.99435547e-007 -5.25234e-014
9.99439453e-007 -5.64297e-014
9.99443359e-007 -5.91152e-014
9.99447266e-007 -6.15566e-014
9.99451172e-007 -6.5707e-014
9.99455078e-007 -6.79043e-014
9.99458984e-007 -7.10781e-014
9.99462891e-007 -7.32754e-014
9.99466797e-007 -7.37637e-014
9.99470703e-007 -7.54727e-014
9.99474609e-007 -7.66934e-014
9.99478516e-007 -7.9623e-014
9.99482422e-007 -9.28066e-014
9.99486328e-007 -1.35531e-013
9.99490234e-007 -2.69564e-013
9.99494141e-007 -5.72543e-013
9.99498047e-007 -1.18851e-012
9.99501953e-007 -2.10404e-012
9.99505859e-007 -3.20096e-012
9.99509766e-007 -4.21097e-012
9.99513672e-007 -4.91165e-012
9.99517578e-007 -5.23099e-012
9.99521484e-007 -5.29251e-012
9.99525391e-007 -5.27835e-012
9.99529297e-007 -5.3096e-012
9.99533203e-007 -5.40287e-012
9.99537109e-007 -5.50955e-012
9.99541016e-007 -5.59793e-012
9.99544922e-007 -5.66507e-012
9.99548828e-007 -5.71927e-012
9.99552734e-007 -5.76078e-012
9.99556641e-007 -5.78739e-012
9.99560547e-007 -5.80496e-012
9.99564453e-007 -5.82303e-012
9.99568359e-007 -5.83109e-012
9.99572266e-007 -5.80692e-012
9.99576172e-007 -5.71366e-012
9.99580078e-007 -5.53177e-012
