LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
9.99392578e-007 -2.28225e-013
9.99396484e-007 -2.30788e-013
9.99400391e-007 -2.34938e-013
9.99404297e-007 -2.39821e-013
9.99408203e-007 -2.44826e-013
9.99412109e-007 -2.49465e-013
9.99416016e-007 -2.52639e-013
9.99419922e-007 -2.5923e-013
9.99423828e-007 -2.64846e-013
9.99427734e-007 -2.70217e-013
9.99431641e-007 -2.74733e-013
9.99435547e-007 -2.80959e-013
9.99439453e-007 -2.86086e-013
9.99443359e-007 -2.90969e-013
9.99447266e-007 -2.95729e-013
9.99451172e-007 -3.01101e-013
9.99455078e-007 -3.04885e-013
9.99458984e-007 -3.0989e-013
9.99462891e-007 -3.13918e-013
9.99466797e-007 -3.16237e-013
9.99470703e-007 -3.19655e-013
9.99474609e-007 -3.2051e-013
9.99478516e-007 -3.24538e-013
9.99482422e-007 -3.26247e-013
9.99486328e-007 -3.27834e-013
9.99490234e-007 -3.28078e-013
9.99494141e-007 -3.30031e-013
9.99498047e-007 -3.3052e-013
9.99501953e-007 -3.31374e-013
9.99505859e-007 -3.31374e-013
9.99509766e-007 -3.31008e-013
9.99513672e-007 -3.28322e-013
9.99517578e-007 -3.27346e-013
9.99521484e-007 -3.28811e-013
9.99525391e-007 -3.28811e-013
9.99529297e-007 -3.29787e-013
9.99533203e-007 -3.30764e-013
9.99537109e-007 -3.31008e-013
9.99541016e-007 -3.31252e-013
9.99544922e-007 -3.30642e-013
9.99548828e-007 -3.3052e-013
9.99552734e-007 -3.30397e-013
9.99556641e-007 -3.30153e-013
9.99560547e-007 -3.28322e-013
9.99564453e-007 -3.27102e-013
9.99568359e-007 -3.26369e-013
9.99572266e-007 -3.29177e-013
9.99576172e-007 -3.28933e-013
9.99580078e-007 -3.28933e-013
9.99583984e-007 -3.30031e-013
9.99587891e-007 -3.28811e-013
9.99591797e-007 -3.29665e-013
9.99595703e-007 -3.3113e-013
9.99599609e-007 -3.33327e-013
9.99603516e-007 -3.37478e-013
9.99607422e-007 -3.38942e-013
9.99611328e-007 -3.39919e-013
9.99615234e-007 -3.42238e-013
9.99619141e-007 -3.42849e-013
9.99623047e-007 -3.44924e-013
9.99626953e-007 -3.44924e-013
9.99630859e-007 -3.46755e-013
9.99634766e-007 -3.48464e-013
9.99638672e-007 -3.48464e-013
9.99642578e-007 -3.4822e-013
9.99646484e-007 -3.51149e-013
9.99650391e-007 -3.52248e-013
9.99654297e-007 -3.53713e-013
9.99658203e-007 -3.57131e-013
9.99662109e-007 -3.59328e-013
9.99666016e-007 -3.59816e-013
9.99669922e-007 -3.62014e-013
9.99673828e-007 -3.63479e-013
9.99677734e-007 -3.66164e-013
9.99681641e-007 -3.67141e-013
9.99685547e-007 -3.67629e-013
9.99689453e-007 -3.67995e-013
9.99693359e-007 -3.72023e-013
9.99697266e-007 -3.74099e-013
9.99701172e-007 -3.7593e-013
9.99705078e-007 -3.76662e-013
